track_id,length,artists,album,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,minutes,beat_density,Popularity_Rank,melody_complexity,instrumental_acoustic_ratio,favorite
3XB5uhhlYSnkxpSihkNQwh,172798,4047,5014,4,0.842,0.525,0.756,169.925,2.21e-06,-7.409,0.0871,7.0,0.421,0.338,0,90.0,2.879966666666667,59.002419009479276,66.0,679.7,4.20952380952381e-06,0
2FDTHlrBguDzQkp7PVj16Q,226383,1797,7545,4,0.916,0.186,0.583,141.095,0.0,-8.067,0.0798,1.0,0.661,0.241,1,94.0,3.77305,37.395475808695885,21.0,564.38,0.0,0
2Gk6fi0dqt91NKvlzGsmm7,173253,5530,6900,4,0.773,0.0585,0.635,121.879,0.0,-5.06,0.132,10.0,0.476,0.0452,1,82.0,2.88755,42.20844660698516,414.5,487.516,0.0,0
4367dXCt02KMgELPisJ2D4,188870,4484,3402,3,0.736,0.0724,0.645,132.024,0.00086,-5.195,0.136,1.0,0.201,0.0807,1,81.0,3.1478333333333333,41.941229417059354,498.0,396.072,0.011878453038674032,0
2YSzYUF3jWqb9YP9VXmpjE,260111,2097,2891,4,0.663,0.0464,0.67,136.952,8.92e-05,-8.399,0.205,8.0,0.138,0.271,1,92.0,4.335183333333333,31.590820841871356,37.5,547.808,0.0019224137931034484,0
6N7TGPYfGP2oxiy9Cpaz9G,185453,110,6321,4,0.886,0.00789,0.558,75.499,0.0,-7.806,0.133,1.0,0.614,0.346,1,25.0,3.090883333333333,24.426350611745292,11201.5,301.996,0.0,0
7AtQxohgEu5dRYdcY4gB6G,142740,6332,2840,4,0.874,0.0728,0.202,134.989,0.0,-16.814,0.14,1.0,0.3,0.798,1,75.0,2.379,56.741908364859185,1214.0,539.956,0.0,0
7LTCmtMpf3JPfBE8gAl64z,230836,5898,8768,4,0.869,0.577,0.557,124.927,0.0,-7.112,0.139,11.0,0.629,0.384,0,78.0,3.8472666666666666,32.47162487653573,814.5,499.708,0.0,0
2Ge2ZhznMuO22wIQ9Z5Wql,227184,4254,3773,4,0.772,0.385,0.759,137.026,0.0,-4.204,0.244,4.0,0.137,0.0303,0,68.0,3.7864,36.18899218254807,2421.0,548.104,0.0,0
1xWkeSPhf3bZqHY7Ncz8vp,144390,4485,138,4,0.731,0.134,0.667,123.042,0.0,-7.928,0.114,7.0,0.485,0.0815,0,84.0,2.4065,51.12902555578641,278.0,492.168,0.0,0
0zbGWzQkLY5wn4xyiLYEi0,192508,3116,3193,4,0.909,0.0107,0.564,146.94,0.0,-7.483,0.109,2.0,0.548,0.31,1,65.0,3.208466666666667,45.797577243543124,3045.5,587.76,0.0,0
1X1dy95bo2OirAmMkBIwkS,185678,4496,5553,4,0.636,0.128,0.605,149.954,0.0,-9.718,0.138,0.0,0.537,0.151,1,0.0,3.0946333333333333,48.456144508234686,12343.0,599.816,0.0,0
6xVdq7lcNHpELteLBfrkY2,100975,6148,5005,4,0.715,0.00905,0.673,88.536,0.0,-4.553,0.109,1.0,0.203,0.329,1,0.0,1.6829166666666666,52.608665511265166,12343.0,354.144,0.0,0
1i9lZvlaDdWDPyXEE95aiq,353755,7518,8804,4,0.458,0.575,0.535,82.826,0.0,-4.854,0.168,5.0,0.216,0.0281,0,90.0,5.8959166666666665,14.048027589716046,66.0,331.304,0.0,0
2nibvvDdAQkVraYP00z2RS,285630,2069,2891,4,0.571,0.0548,0.55,120.947,0.0,-6.567,0.179,0.0,0.104,0.106,1,85.0,4.7605,25.4063648776389,228.0,483.788,0.0,0
3h4HlcmWdexWJ6SSyZG67E,132566,4500,8003,4,0.799,0.0543,0.751,131.073,0.0,-3.848,0.432,8.0,0.72,0.313,1,74.0,2.209433333333333,59.3242611227615,1356.0,524.292,0.0,0
3kfhS2L56Wj8fBcu7xE47H,203442,6254,5723,5,0.544,0.13,0.496,103.148,0.0,-12.032,0.166,0.0,0.314,0.21,1,81.0,3.3907,30.42085705016663,498.0,515.74,0.0,0
6Qc90FMwNUjJ2M893RdYUg,168427,5528,6900,4,0.677,0.0538,0.658,189.976,0.0,-6.223,0.167,2.0,0.164,0.293,1,76.0,2.8071166666666665,67.67656017146895,1069.5,759.904,0.0,0
6GeNWEE6sxYf5hMO93gw42,175765,5127,2190,4,0.83,0.183,0.831,169.998,0.0,-3.743,0.259,11.0,0.96,0.213,1,34.0,2.9294166666666666,58.03134867578869,10171.5,679.992,0.0,0
3CUMd8XMv3LBSLrDrKoXQE,207133,7940,2976,1,0.542,0.0111,0.695,70.934,0.0,-6.539,0.114,11.0,0.306,0.183,0,69.0,3.4522166666666667,20.547377771769828,2222.5,70.934,0.0,0
2hkcNrUwTVwKqjfUO1Kx3d,177893,155,643,4,0.558,0.132,0.657,91.306,0.0,-4.853,0.147,1.0,0.5,0.232,1,76.0,2.9648833333333333,30.795815462103622,1069.5,365.224,0.0,0
7icwQvajsokotDfM3tefW6,154120,6578,3767,4,0.739,0.231,0.536,82.549,0.0,-10.843,0.35,1.0,0.64,0.308,1,81.0,2.5686666666666667,32.136906306773945,498.0,330.196,0.0,0
67nepsnrcZkowTxMWigSbb,246134,7515,8804,4,0.557,0.012,0.774,111.975,0.0,-5.275,0.396,7.0,0.397,0.351,0,91.0,4.102233333333333,27.29610699862676,49.5,447.9,0.0,0
02K2VtGdUG5fUlAQATEgE6,219617,6148,6902,4,0.493,0.194,0.737,173.579,0.0,-4.757,0.254,10.0,0.482,0.496,0,74.0,3.6602833333333336,47.422285160074125,1356.0,694.316,0.0,0
2eLrDMQnosvAOTzoZ8bRZZ,137893,4187,5684,4,0.899,0.000235,0.648,155.002,0.000802,-6.104,0.221,6.0,0.424,0.463,1,67.0,2.298216666666667,67.44446781199916,2618.0,620.008,3.4127659574468083,0
166lmjn9xjWj1AEdGX8PYh,156307,5531,2696,4,0.676,0.271,0.844,163.992,0.0,-4.831,0.0994,5.0,0.424,0.407,0,77.0,2.6051166666666665,62.949963853186354,937.0,655.968,0.0,0
2XkuWK1lXOPkxdWdM78Q0l,195573,2007,7025,4,0.831,0.000156,0.362,139.941,0.0162,-6.085,0.168,1.0,0.313,0.229,1,67.0,3.25955,42.93261339755488,2618.0,559.764,103.84615384615384,0
5JYPXqMwYc0zTODQdjMEZN,126857,3371,4736,4,0.789,0.123,0.763,140.107,2.22e-05,-6.169,0.132,1.0,0.272,0.199,1,86.0,2.1142833333333333,66.26689894921053,183.0,560.428,0.0001804878048780488,0
4T9246CX4qYIaUxVFALOpQ,168645,3118,1330,4,0.731,0.0152,0.888,159.986,0.0,-6.914,0.172,2.0,0.927,0.185,1,43.0,2.81075,56.919327581606325,8525.5,639.944,0.0,0
2c7sRekhMGlj7u1WIIzoQu,150402,4155,193,4,0.538,0.00437,0.669,141.659,1.03e-05,-4.97,0.43,1.0,0.0389,0.0518,1,77.0,2.5067,56.512147444847805,937.0,566.636,0.002356979405034325,0
59GEWDzQgCXM55aGZDWSrQ,118356,1726,4508,4,0.882,0.00555,0.569,145.995,0.0,-5.934,0.107,1.0,0.394,0.3,1,61.0,1.9726,74.0114569603569,4014.5,583.98,0.0,0
3FjK86616FbluOfTxNK2gY,148928,6702,1255,4,0.931,0.399,0.401,128.871,2.05e-06,-8.756,0.266,0.0,0.613,0.158,1,81.0,2.4821333333333335,51.91945100988397,498.0,515.484,5.137844611528822e-06,0
6WYo4HDHHvMJZU1lNebB3V,286579,4503,4416,4,0.752,0.142,0.643,175.988,0.0,-5.561,0.0889,7.0,0.805,0.458,1,73.0,4.776316666666666,36.84596568485479,1503.5,703.952,0.0,0
3MbOT5mzE94Ne0Hv51akoS,175671,7577,1302,4,0.831,0.199,0.439,105.104,0.00153,-7.892,0.133,5.0,0.353,0.323,0,74.0,2.92785,35.89801390098537,1356.0,420.416,0.007688442211055276,0
4hGmQboiou09EwhcTWa0H6,230311,1931,8297,4,0.67,0.252,0.562,97.919,0.0,-7.653,0.242,5.0,0.18,0.233,0,76.0,3.8385166666666666,25.50959354959164,1069.5,391.676,0.0,0
7gwEKj4xXm9iRqxGhHxSI4,106154,1459,6525,4,0.952,0.0414,0.724,104.008,0.0,-4.894,0.173,1.0,0.494,0.122,1,0.0,1.7692333333333334,58.78704523616632,12343.0,416.032,0.0,0
2z2gqgwu1GCurpZJYzcytE,202224,6255,5723,4,0.741,0.0761,0.509,152.078,2.9e-06,-12.639,0.114,10.0,0.345,0.0532,1,76.0,3.3704,45.121647282221694,1069.5,608.312,3.8107752956636005e-05,0
5IN2qvFpISNge4Bed3fJz4,119172,2459,9345,4,0.768,0.51,0.881,144.979,0.0,-2.995,0.127,10.0,0.526,0.305,0,66.0,1.9862,72.99315275400262,2828.0,579.916,0.0,0
1BmI4EYdfzbg8DlV6pHYrY,217213,7931,6134,4,0.908,0.00933,0.561,146.018,0.0,-7.683,0.111,4.0,0.559,0.301,0,74.0,3.620216666666667,40.33404998779999,1356.0,584.072,0.0,0
1llzRvV9QpuNHjPu0rVQSp,172376,3115,8519,4,0.852,0.00209,0.735,90.505,0.0,-3.6,0.103,5.0,0.572,0.161,1,73.0,2.872933333333333,31.502645379867268,1503.5,362.02,0.0,0
4hrd3G5XnJzDC5LZw0Fwgu,176133,4379,4032,4,0.707,0.00654,0.645,150.014,2.38e-06,-5.395,0.344,6.0,0.524,0.321,0,69.0,2.93555,51.10251911907479,2222.5,600.056,0.000363914373088685,0
4daEMLSZCgZ2Mt7gNm2SRa,192727,4496,6225,4,0.64,0.492,0.609,131.889,2.47e-06,-7.714,0.152,1.0,0.393,0.304,0,82.0,3.2121166666666667,41.059841122416685,414.5,527.556,5.020325203252033e-06,0
0B1xarnfKvUFWUoFdQnooq,189012,161,6545,4,0.745,0.455,0.877,120.015,0.0,-2.649,0.0732,5.0,0.852,0.173,0,74.0,3.1502,38.09758110596153,1356.0,480.06,0.0,0
3V0A5gVJFGy4Hmo3MJ59uD,134715,7914,3949,4,0.853,0.0105,0.574,142.982,2.4e-06,-6.082,0.102,0.0,0.526,0.197,1,69.0,2.24525,63.68199532346064,2222.5,571.928,0.00022857142857142854,0
39fKVWP7D9qAmkM8qjRQoC,259547,6351,912,4,0.621,0.472,0.462,89.23,0.0,-6.268,0.153,11.0,0.267,0.428,1,70.0,4.325783333333334,20.627477874912827,2022.5,356.92,0.0,0
11B7WTuoInwUvuP1BnnGWW,218264,7909,9590,4,0.684,0.0171,0.63,149.947,0.000927,-6.143,0.194,10.0,0.177,0.0589,0,78.0,3.6377333333333333,41.219898838104314,814.5,599.788,0.05421052631578947,0
0pRqj4CrVCHOjDngEXZxcz,248661,4505,8409,4,0.569,0.696,0.811,144.642,0.0,-4.562,0.156,5.0,0.69,0.336,1,67.0,4.14435,34.90100980853451,2618.0,578.568,0.0,0
2neydrTb5GVPRHNNmW0iPP,195488,6026,4571,4,0.467,0.0419,0.908,160.036,0.0,-4.164,0.277,11.0,0.459,0.0511,0,70.0,3.2581333333333333,49.1189229006384,2022.5,640.144,0.0,0
0bILU0UiNDmA5Ff6whhb2R,178723,752,6682,4,0.57,0.426,0.67,140.924,0.0,-6.519,0.108,1.0,0.593,0.0274,1,86.0,2.9787166666666667,47.31030701140872,183.0,563.696,0.0,0
2ePiBvKtQOCBHq9uOlwiiU,181067,5064,4985,4,0.573,0.129,0.795,128.101,1.78e-05,-5.561,0.186,10.0,0.705,0.0558,1,74.0,3.0177833333333335,42.44870683227755,1356.0,512.404,0.000137984496124031,0
