track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
0QyisrAtBYGswf8KTJkkFV,16CHOPPA (feat. Nardo Wick),"['Skillibeng', 'Nardo Wick']",16CHOPPA (feat. Nardo Wick),207604,4,0.955,0.0185,0.621,101.989,2.11e-05,-3.522,0.101,11.0,0.262,0.241,1,54.0,0
4Lv6Jh52ZV2T7Zfr9KMsul,Forever,['Dexta Daps'],Forever,193171,5,0.696,0.215,0.684,109.507,1.05e-06,-2.47,0.104,10.0,0.556,0.0848,1,58.0,0
62gv0hzbDQGDD9fy8AHTtb,Narcissistic,"['Valiant', 'Stalk Ashley']",Narcissistic,182857,4,0.429,0.417,0.597,82.076,1.87e-06,-4.892,0.149,9.0,0.504,0.092,1,58.0,0
5Bij2gXhLEUUxyPGcZZFFj,Feelings (Remix),"[""D'yani"", 'Jada Kingdom']",Feelings (Remix),217464,4,0.71,0.407,0.531,88.904,0.0,-6.767,0.0928,6.0,0.54,0.149,0,55.0,0
6ocqnSUAMMskrP3yDQdGxZ,WiFi,"['Dexta Daps', 'Drumma Boy']",WiFi,213840,4,0.634,0.0927,0.704,97.635,0.0,-6.459,0.0385,5.0,0.843,0.384,1,53.0,0
3vwYqbNjlCe50NwH6dSQuf,Feel So Good,['Tifa'],Feel So Good,169065,5,0.611,0.235,0.676,122.081,2.32e-06,-7.223,0.167,10.0,0.551,0.0797,0,32.0,0
0YupTocrGQ7WR7MU9ZQjsp,Jiggle,['Projexx'],"GRIM TAPE, VOL. II",145835,4,0.747,0.0582,0.617,94.712,0.0,-5.301,0.0887,4.0,0.375,0.31,0,32.0,0
0YjfMVZoqpE1ACzLYyy8Vr,GYAL TIME AGAIN,"['Konshens', 'Charly Black']",GYAL TIME AGAIN,182400,4,0.822,0.31,0.747,92.942,0.0,-3.29,0.325,11.0,0.702,0.17,0,50.0,0
1W8pwkDbdMBo1Whf4pkVLU,Waistline,['Shenseea'],Waistline,166071,5,0.636,0.106,0.706,124.215,0.0,-2.955,0.311,11.0,0.616,0.34,1,57.0,0
4Tk7F4BJ5RMvzQSUvTecBn,Og Bobby Johnson,['Kraff Gad'],Og Bobby Johnson,158400,4,0.644,0.401,0.597,199.953,0.0,-7.933,0.177,9.0,0.531,0.227,0,40.0,0
7dowPGIwzxXvgC90gOQkmS,Switch,"['Rvssian', 'Skeng']",Switch,119353,4,0.925,0.0163,0.569,100.008,0.0,-4.766,0.108,8.0,0.477,0.241,0,48.0,0
5SqaYcPSRGSg7ZzT7aLzcK,Protocol,"['Skeng', 'Tommy Lee Sparta', '1stClass']",Protocol,199837,4,0.665,0.1,0.582,99.98,0.0,-7.221,0.163,10.0,0.441,0.339,0,59.0,0
6acGurI3gpZ59hSO8mYb60,16DEM,['Skillibeng'],16DEM,192822,4,0.692,0.208,0.636,102.037,0.0,-6.49,0.121,6.0,0.2,0.328,0,40.0,0
6wximh7UUXaridTcdnGzNo,Bitcoin,"['Teejay', 'TroyBoss']",Bitcoin,196800,5,0.802,0.485,0.541,133.208,0.00821,-9.086,0.18,10.0,0.301,0.208,0,48.0,0
12oJhyQtWydL1vEaUWHhdG,Spend It,"['Konshens', 'DJ Smo', 'Reid Waters']",Spend It,143441,4,0.561,0.0425,0.517,101.75,0.000201,-8.72,0.361,2.0,0.135,0.336,1,41.0,0
4ifFhV3uG87Gc00h5Gn3qp,Dunce Cheque,['Valiant'],Dunce Cheque,156000,4,0.75,0.241,0.566,99.979,0.0,-6.306,0.137,7.0,0.165,0.447,0,60.0,0
2brmWfgvpkTotbDYSi8jbO,Speed Off,"['Valiant', 'DJ MAC']",Speed Off,174002,5,0.604,0.461,0.584,129.384,3.83e-06,-6.438,0.159,1.0,0.434,0.43,0,56.0,0
7aBd8qMooFYZtQQwQJFAdX,V6,"['Ireland Boss', 'Malie Donn']",V6,162667,5,0.657,0.513,0.323,133.862,0.0113,-7.24,0.0928,8.0,0.346,0.414,1,66.0,0
33KwXVsKGKn4FxbauP0rzP,Choppa Gospel,['Jquan'],Choppa Gospel,165149,3,0.649,0.627,0.522,66.513,3.7e-05,-8.767,0.323,10.0,0.642,0.277,0,46.0,0
0u6CrJQF1SVqQNt3WzfodO,Paddle Boat,['Najeeriii'],Paddle Boat,159000,4,0.922,0.0801,0.62,100.991,2.18e-06,-7.018,0.534,1.0,0.536,0.143,1,53.0,0
6UkGl2XEw0zticxJugwkq5,Wild Out,['RajahWild'],Wild Out,153000,4,0.949,0.0667,0.377,100.928,0.0,-6.345,0.0885,1.0,0.575,0.341,1,62.0,0
0bTlhD1l36iHX1SUiNa3nL,Mad Out,['Valiant'],Mad Out,153041,4,0.912,0.0453,0.358,101.01,0.0127,-8.296,0.104,1.0,0.47,0.224,1,54.0,0
61pxWxCax8g9XG19LO6Won,Bakshat,['Roze Don'],Bakshat,156562,4,0.859,0.00822,0.401,101.002,0.298,-9.043,0.0825,1.0,0.424,0.14,1,49.0,0
6GLJNxz1Yf49PacjL3pfIz,Dip Suh,['Konshens'],Dip Suh,154539,4,0.9,0.0576,0.703,101.019,0.0,-7.55,0.0825,1.0,0.621,0.181,1,43.0,0
