track_id,album,artists,length,danceability,tempo,energy,acousticness,time_signature,favorite
1xdsRkWxWWUkKhh9hRtfYp,5972,1278,177400,0.563,92.988,0.755,0.0134,4,0
7MSWxMumjz6lHj7oRApNbg,9311,1421,267893,0.353,145.225,0.77,0.0016,4,0
1fOvzFCRA3Ko0ihc2QTE29,3717,4689,184107,0.617,73.008,0.369,0.22,4,0
7qaMlLPdwNiiU1Uiy1oAdO,3200,2716,162733,0.647,103.919,0.776,0.00686,4,0
1Lo0QY9cvc8sUB2vnIOxDT,3130,4688,265493,0.712,97.994,0.603,0.186,4,0
7hZTywPKMdVjJzwdWu11BK,7007,1745,200347,0.444,134.931,0.629,0.00544,3,0
4Bee3PcNdfeqO1B80dDgFn,9319,3610,237493,0.564,83.03,0.612,0.382,3,0
0ayd4fDb6rMZl9uqCY3Hzl,5842,5600,227892,0.509,165.964,0.793,0.25,4,0
4QzoBae05AxedOwsC8cqlh,3582,4773,190540,0.567,77.076,0.524,0.428,4,0
4l5w5qGInIhwfvpYmPIYdK,2189,6158,174992,0.457,141.936,0.725,8.66e-05,4,0
5SIb4S2seQAeCHPXxiNHBL,1981,1073,183542,0.546,169.875,0.509,0.222,4,0
7Ez0QMtgIQ60BOHGHh3yPc,7156,1077,157800,0.649,120.972,0.844,0.0518,4,0
3vsdSgCvepm6kroIPLa4Oz,1488,5536,200133,0.46,138.629,0.571,0.226,4,0
2eGvz6O6tVnh9nKiitDEhZ,3875,4094,163600,0.529,116.004,0.866,0.00281,4,0
2otAb5kIGdZzJCqcUHNztT,7851,306,171080,0.667,83.962,0.671,0.413,4,0
4dtIxANFBU6CfhI9c2hf2g,1694,2140,194440,0.522,97.045,0.223,0.753,4,0
43SoxERu5UlXAgt4Es1VQU,6293,3941,184949,0.647,142.034,0.477,0.0585,4,0
6DYtfjCJdFOXUlV3E9a9bI,3821,1350,270933,0.591,147.984,0.46,0.0703,4,0
5rCt377EMkCJ0D0sldd5t8,6793,4149,183080,0.499,75.068,0.447,0.706,4,0
3jhV8I9sIPXsjPs2ZOnSaf,1411,4686,176427,0.404,208.138,0.788,0.00518,4,0
1squCbXxHkHAO0VYRjTl2S,9449,1533,183107,0.515,155.928,0.661,0.0957,4,0
6Ahy5fItdBfXRVWYOLo7pM,2838,1772,225360,0.513,104.022,0.788,0.00056,4,0
1olWQ1LOUYs4VBwx5N8Lz9,4135,7582,225827,0.534,127.357,0.409,0.844,4,0
3fonAuTvuI5KMcmnueLAPq,5241,6420,199875,0.427,85.633,0.278,0.47,3,0
7iQXYTyuG13aoeHxGG28Nh,9691,740,162768,0.911,96.057,0.778,0.0887,4,0
6UtWwuheJr5LLDeVypPNx7,6049,2684,187077,0.742,128.053,0.873,0.172,3,0
7mXuWTczZNxG5EDcjFEuJR,3362,5707,212878,0.646,140.098,0.736,0.216,3,0
6XbtvPmIpyCbjuT0e8cQtp,1729,5908,186000,0.668,100.02,0.712,0.369,4,0
3nNmRE0DxHC6ZaKkrpUumS,9691,741,216328,0.847,94.601,0.724,0.0869,4,0
2QM5gBm9Q8VZ7UamMIMLb1,9628,901,192288,0.795,124.109,0.553,0.527,4,0
3cDyocF0Ibdfs1SFQk5cLZ,2464,1770,199947,0.822,102.984,0.711,0.179,4,0
6irysuQyZWd7Bjj7ePiOs2,3710,3658,231693,0.831,107.961,0.759,0.277,4,0
6uIIdjYTxxpWOyWuVXrKQO,6492,1213,191467,0.808,124.934,0.944,0.183,3,0
6XSqqQIy7Lm7SnwxS4NrGx,1674,2422,195987,0.859,100.065,0.658,0.145,4,0
15U5RHzuLMPNFThQqfKL0U,1918,6992,265999,0.564,121.001,0.874,0.119,4,0
7mLPSkAJraASgNk6ywyTkp,5014,4048,154375,0.634,159.898,0.725,0.0754,4,0
4sDpxaulErbJ9NBaJDC7cJ,1384,5907,192955,0.625,87.948,0.755,0.247,4,0
4mGrWfDISjNjgeQnH1B8IE,6340,1251,186456,0.544,157.939,0.396,0.607,3,0
6RcAHyC5sAUIbPTkhOQwd8,10,4000,179013,0.728,77.475,0.589,0.424,4,0
7bPp2NmpmyhLJ7zWazAXMu,3362,5708,209415,0.557,167.767,0.866,0.394,4,0
0QRHOAeU8JRaVVn3UoZBih,2461,5225,211879,0.724,167.985,0.578,0.632,4,0
4SW9gHnW8NfKOdqmh0ij45,9628,901,133969,0.801,160.254,0.517,0.494,4,0
1LFXWfARjkBkc9Abofmgp8,2703,2421,195653,0.76,113.047,0.931,0.158,4,0
609E1JCInJncactoMmkDon,6549,5939,194543,0.768,95.05,0.644,0.736,4,0
307kaV2BoOC4pRRzwJUJxf,5229,478,154024,0.819,129.991,0.687,0.233,4,0
35FW5OEe4p38LdjK1KqT2X,8786,1655,171761,0.882,130.032,0.934,0.292,4,0
0Me3GyNuLOa1YTIxhJPyCn,264,2284,172096,0.823,128.044,0.882,0.688,4,0
0p0cOpBujR114Wirv5AM7W,5574,1867,173991,0.711,159.953,0.718,0.379,4,0
2hn2zOA2XFlv6DSmesylrL,6487,6343,150619,0.791,97.008,0.892,0.0509,4,0
4PA1wK0leCjmRZlP5dQ8Lv,2508,6693,191321,0.715,105.964,0.642,0.0687,4,0
5oVBCcGv1EX2foIs6X6GRw,5871,3656,128571,0.681,148.931,0.719,0.595,5,0
7yci6r0cjX0Np5AshDZOsR,1921,4834,188412,0.574,132.538,0.801,0.58,4,0
2VOXLA9TzOAVCjDi7RY5DV,6016,3582,340000,0.503,85.701,0.549,0.486,4,0
2TJKY0WSFufZOzbRNgl6zE,2457,327,194769,0.793,129.992,0.476,0.132,4,0
7yIIeKUxTpn36X6CFJhgEi,4471,815,155965,0.795,101.032,0.678,0.0398,4,0
3bRWGhpeNUkJfFydelSwBk,3064,2266,151654,0.881,127.034,0.788,0.0515,4,0
3wlIAXSDtlD9iU8ysld06Z,658,5709,265045,0.776,112.032,0.701,0.513,3,0
5wjsJIUf6pdrwauPDae43o,2511,6591,170297,0.771,74.995,0.661,0.227,4,0
5XVdHRf4CAJ2Jm0uMIy5qY,4542,7883,156346,0.778,140.082,0.835,0.152,4,0
0J9g1MMJDhyvOb3NWckHMm,1652,743,219333,0.852,96.984,0.881,0.0602,4,0
51QmqegeWI2orK2mzDfnIH,2512,4214,129846,0.884,139.991,0.718,0.0406,4,0
6k5wiT5l9DK8iZmhvEvoqo,1807,1098,275040,0.843,92.998,0.794,0.226,4,0
2SOvWt6igzXViIjIiWNWEP,644,5983,222462,0.773,130.007,0.892,0.166,4,0
4t46soaqA758rbukTO5pp1,5576,5342,188667,0.807,127.909,0.665,0.0185,3,0
3dnP0JxCgygwQH9Gm7q7nb,2540,2335,165671,0.668,147.989,0.758,0.483,3,0
3CU1qWV0h0PvWXQg71YUoo,1940,1767,140735,0.845,123.987,0.712,0.0794,4,0
0O3U5iwTbiXCREMkvotJuN,2509,3108,165848,0.616,151.701,0.834,0.06,4,0
3kmWIej9tXjSWWYc9tPjJk,1440,4819,166735,0.783,109.977,0.868,0.19,4,0
1Hs1uUl8o2VtDp1DABFq0O,4876,4313,338000,0.813,120.011,0.682,0.107,4,0
2kjH4Q6WxvlpGnlgwmv4eG,5792,8012,213192,0.493,102.536,0.927,1.26e-05,4,0
3xY5aYJcdvZX9xQxNd02ku,4117,1344,176480,0.736,128.046,0.754,0.033,4,0
180AbZduI6bYQIzwCHRwu9,212,8005,233388,0.726,114.99,0.624,0.498,4,0
0Ag6LNrSfJVKRhGzD7ArDq,3405,7278,243687,0.64,123.016,0.982,0.000368,4,0
6m0S4wcG6sTCP010ZrgdJI,1469,112,166140,0.674,158.97,0.634,0.0192,4,0
30QYxvXOJZhGBF6DvpNb8w,7538,6397,233617,0.345,145.298,0.513,0.406,4,0
4kvDU8vfvxupVezsVPag5v,7941,4083,232307,0.425,111.393,0.607,0.774,4,0
5HM5trJxTouv3eUVcbW8sh,7168,1394,231109,0.774,100.011,0.611,0.108,4,0
6Cxc9tL1sMdivV1Quh0yjZ,1330,3119,210143,0.794,139.966,0.743,0.00577,4,0
2fRqb3yoCI9cbRASkEMo3m,1481,6431,194173,0.557,62.048,0.584,0.749,4,0
1maIZ0gsjVbdANLvl4v0ao,4550,6438,185371,0.655,155.974,0.607,0.695,4,0
4jpNmNXMzO3aVgJhy8sdxL,7718,7121,170617,0.747,95.033,0.7,0.488,4,0
7ddHGUPt5bOpVFAtX6TJN8,1997,1276,165475,0.815,134.992,0.39,0.0194,4,0
2EYDqen8Pftl3ENvqOs6fE,5320,6696,237989,0.298,99.596,0.813,0.2,1,0
7pw6IXqjBn0M68l5JI3mIV,3573,7942,224831,0.681,159.059,0.803,0.0188,4,0
4NUmZ5svM1Bbmaz5udqUeJ,2374,4891,170253,0.697,124.932,0.732,0.0139,4,0
4GnjXzJfmPcVEt0S7zIS9L,4671,2054,126265,0.638,115.999,0.572,0.00118,4,0
0Fnjp5rPXHGYnehRgnaEjr,4716,6835,166498,0.708,120.004,0.794,0.0273,4,0
02WbmXcfVEPDOZH91K8OtL,3948,4487,147691,0.812,130.041,0.517,0.0708,4,0
3Yw6KJjm8ycybvl6UdW9dq,3024,5598,215470,0.627,176.08,0.828,0.222,4,0
1V9vDStzw6C7pXSsIrzER2,4571,6026,195933,0.374,81.556,0.657,0.32,4,0
0rcaFqednwwedMu68xpKlj,3011,6498,302579,0.261,144.641,0.349,0.917,4,0
3ROgWZzcpQ0y8k67PzlbBC,5496,989,322453,0.509,80.044,0.56,0.0941,4,0
27RWVlCet2iZlGciBETorw,5472,4187,137927,0.899,155.016,0.65,0.0002,4,0
2F7dO7OCqrxff66epaNPEU,1984,3330,189493,0.601,141.155,0.851,0.00798,4,0
2fga4JgHuq91W9HiTfo9GC,9674,3357,241714,0.561,139.926,0.95,0.061,4,0
5Gdbm8oHbicLgj79HcOxtL,9740,3099,188605,0.649,92.911,0.71,0.726,4,0
0pyOM5TLmrs7fhTwgre7TG,9227,4179,183080,0.842,122.003,0.624,0.0605,4,0
6rJmsLYHcPgpLlMr0zMXQo,2989,1409,178845,0.478,85.05,0.768,0.0235,4,0
0DRJILxCmuHsrJpYYqXMed,7028,2265,149125,0.828,124.004,0.619,0.131,4,0
0AvmYTwL16E2CAqCrXP0dW,3630,5893,196373,0.845,119.989,0.57,0.0153,4,0
7xxmW8ieHp9YnACGc0PfNz,7726,1893,178746,0.62,83.861,0.478,0.815,4,0
0UNDrAptMY5glGrcdr93Kx,3470,7894,204459,0.401,154.978,0.964,0.00159,4,0
6j8rjIqqZkKnc0VzLjIN3J,656,2468,156877,0.938,113.982,0.467,0.0123,4,0
2dRwRtYFH95QcMcRhUVWBB,4510,8115,196880,0.829,127.964,0.724,0.0353,4,0
2ZqOCKuFkKhAZDRYI90EHb,6177,595,160581,0.895,122.55,0.58,0.713,4,0
46ewa3Cu9oEqxNnh0LRWxs,3103,3204,247012,0.641,83.058,0.509,0.15,4,0
5pNFOG7WqeKscjCPm580Nr,3418,5230,205568,0.409,145.2,0.218,0.744,3,0
01cN1DKc5HH7F9MOBBjSip,255,3109,172485,0.497,82.947,0.696,0.121,4,0
7fnICPO0s3jcQ049Yk0EmV,5755,4774,173907,0.521,164.95,0.525,0.0137,4,0
6GcGjg0IfSzcnlrATESE4S,1100,7269,113605,0.53,82.478,0.825,0.000192,4,0
0JFUAuI5jrh7xHaY0kRFW1,9724,8056,182234,0.393,174.466,0.628,0.435,4,0
6gOxexvj0mjwnRRrLXT1cB,5570,5275,208837,0.537,93.847,0.374,0.915,4,0
09dCk3StPaVK9JpTU6PGN2,4977,8050,143400,0.411,74.779,0.494,0.386,4,0
1OiiHxQFLMftJpw5C8Vrar,7538,5514,129445,0.567,178.562,0.749,0.0247,4,0
51fqkA2jYEfXiUkcQYpCyB,6230,4562,167067,0.732,98.099,0.7,0.00602,4,0
6qYCswyML9pHuvYDBdZJYd,5146,7713,170800,0.681,102.111,0.708,0.113,4,0
4r9kj0CqH7RCp6Oxx56SvN,5179,6425,155410,0.697,122.062,0.954,0.157,4,0
3936OLY1SxZ4cVqxqrS7p2,1137,5805,262000,0.68,105.005,0.789,0.0302,4,0
6MmnCLbZ5sEshGK7bJDQB6,7898,1763,148658,0.386,154.376,0.89,0.0283,4,0
5UzLPjUzrIStZCocniiH1y,627,7962,177797,0.679,135.011,0.529,0.387,4,0
7mGIEdzSzlTYjPtiDsXbVM,5120,2255,161530,0.733,132.853,0.551,0.381,4,0
676TvM26wVq88afbYDPRO3,7697,3283,229878,0.323,130.941,0.228,0.927,3,0
3FvTHuefYV6TxE3Kseqno8,4522,2717,188000,0.739,130.002,0.579,0.0622,3,0
562S3M4AGzUZcZ6G1WorfN,2385,6453,250221,0.53,134.689,0.595,0.599,4,0
2tRcF1bE5ESw9c8ljLXLsR,1177,3577,166239,0.7,139.989,0.736,0.0975,4,0
7vUNVm5CpZLHDlkRiOJJc5,6859,6298,202736,0.542,175.926,0.877,0.161,4,0
6dYtCV39bCt10NMfzgOdtA,1165,364,180573,0.468,158.085,0.956,5.16e-05,4,0
0i8EbwLvGtg3u9hq896b1A,3042,4742,167742,0.522,186.011,0.782,0.142,4,0
13ks10TjWmDaVL4iO8R5dV,5803,5332,178983,0.837,118.015,0.383,0.563,4,0
2i5q9JRYHVkPNegErZ2WvA,9589,2153,199467,0.499,88.491,0.867,0.000271,4,0
00uvWPbNBali6gKlZxUxIU,552,5172,166520,0.653,153.719,0.518,0.965,4,0
2ShpBw0zpxdnclk7gv8eHY,3912,7067,135189,0.557,157.91,0.593,0.684,4,0
4nhLPA3DAMEOj92U5i2cOk,2455,1091,292262,0.408,144.972,0.519,0.0467,4,0
