ID,Song Name,Artists,Album Name,Popularity
6QyQmdvQ1ywNccYa0pwLNQ,The Tracks Of My Tears,['Smokey Robinson & The Miracles'],Going To A Go-Go,66
0OwvrdjaJOypNsNQHyBWE5,California Soul,['Marlena Shaw'],The Spice Of Life,69
6hleUCx3E4gB2urwRvx1QT,Time of the Season - Mono Version,['The Zombies'],Odessey and Oracle,74
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,['Neil Diamond'],Sweet Caroline,80
6e6Kxot9nHyZ4I8GgmGKII,Nothing Can Change This Love,['Sam Cooke'],Mr. Soul,64
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,['David Bowie'],David Bowie (aka Space Oddity) [2015 Remaster],73
2L93TdW2GMue1H2zlkt30F,Suzanne,['Leonard Cohen'],Songs Of Leonard Cohen,65
5c33j1xFVOL4G24zxYhssB,This Old Heart Of Mine (Is Weak For You),['The Isley Brothers'],This Old Heart Of Mine,69
2oF7FZHIJbzjeEXZ3D0Ku4,Good Vibrations - Remastered 2001,['The Beach Boys'],Good Vibrations 40th Anniversary,63
1UwriLz98ILbRhrtohTca1,The Wanderer,['Dion'],The Best Of Dion,60
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",['The Rolling Stones'],Aftermath,85
29SyMC0plk6qw8NMF7lfRL,You Really Got Me,['The Kinks'],Kinks (Deluxe),75
4Wzt8Dm4xpO3LjWDecP4bA,She's Not There,['The Zombies'],Begin Here,68
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",['Four Tops'],Four Tops Second Album,78
6sPOmDulFtLzfX25zICNrC,Build Me Up Buttercup,['The Foundations'],The Foundations,69
1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition,['The Rolling Stones'],Beggars Banquet (50th Anniversary Edition),76
7s25THrKz86DM225dOYwnr,Respect,['Aretha Franklin'],I Never Loved a Man the Way I Love You,78
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"['Bobby ""Boris"" Pickett', 'The Crypt-Kickers']",The Original Monster Mash,75
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,['Creedence Clearwater Revival'],Willy And The Poor Boys (Expanded Edition),87
3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),['The Beach Boys'],All Summer Long (Mono & Stereo),69
5xMNjx7uqCzMpJZSo4Wq55,"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",['Johnny Cash'],At San Quentin,59
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,['Louis Armstrong'],What A Wonderful World,79
6zFsz86nAj5gcvzyVqNL3k,I Fall To Pieces - Single Version,"['Patsy Cline', 'The Jordanaires']",Showcase,64
4QxDOjgpYtQDxxbWPuEJOy,L-O-V-E,['Nat King Cole'],L-O-V-E,76
5uES1C2NgkdrNHiCwf9jRr,Baby Love,['The Supremes'],Where Did Our Love Go,72
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,['The Beatles'],Abbey Road (Remastered),85
2CQRYn5cTD2B9a1ONjhTN2,Wouldn't It Be Nice - Mono,['The Beach Boys'],Pet Sounds (Original Mono & Stereo Mix),53
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),['Harry Belafonte'],Calypso,69
3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,['The Flamingos'],Flamingo Serenade,67
2drXvACELcvwryaFRiRPdA,Sh-Boom,['The Chords'],Life Could Be a Dream: The Sh-Boom Sound of The Chords,64
0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,['Chet Baker'],Chet Baker Sings,69
7caj6X6NMX3tlhWnu1du6V,We Belong Together,['Ritchie Valens'],Ritchie Valens,71
