track_id,duration_ms,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode
6RcAHyC5sAUIbPTkhOQwd8,4,0.728,0.424,0.589,77.475,7.78e-06,-7.115,0.166,179013,7,0.767,0.0376,1
7bPp2NmpmyhLJ7zWazAXMu,4,0.557,0.394,0.866,167.767,0.0,-4.454,0.11,209415,6,0.631,0.0503,1
0QRHOAeU8JRaVVn3UoZBih,4,0.724,0.632,0.578,167.985,1.06e-06,-7.117,0.0943,211879,10,0.757,0.0819,1
4SW9gHnW8NfKOdqmh0ij45,4,0.801,0.494,0.517,160.254,1.45e-06,-8.205,0.355,133969,2,0.923,0.269,0
1LFXWfARjkBkc9Abofmgp8,4,0.76,0.158,0.931,113.047,1.71e-06,-4.557,0.373,195653,0,0.545,0.138,1
609E1JCInJncactoMmkDon,4,0.768,0.736,0.644,95.05,0.000837,-6.671,0.173,194543,5,0.53,0.136,0
307kaV2BoOC4pRRzwJUJxf,4,0.819,0.233,0.687,129.991,4.77e-05,-2.213,0.117,154024,1,0.475,0.0464,0
35FW5OEe4p38LdjK1KqT2X,4,0.882,0.292,0.934,130.032,0.0024,-1.479,0.0549,171761,8,0.611,0.0501,0
0Me3GyNuLOa1YTIxhJPyCn,4,0.823,0.688,0.882,128.044,1.7e-06,-3.513,0.107,172096,3,0.963,0.0556,0
0p0cOpBujR114Wirv5AM7W,4,0.711,0.379,0.718,159.953,0.0,-5.671,0.119,173991,1,0.689,0.0994,1
2hn2zOA2XFlv6DSmesylrL,4,0.791,0.0509,0.892,97.008,0.000355,-2.58,0.0609,150619,0,0.916,0.0521,1
4PA1wK0leCjmRZlP5dQ8Lv,4,0.715,0.0687,0.642,105.964,0.0,-7.492,0.0997,191321,10,0.169,0.0515,0
5oVBCcGv1EX2foIs6X6GRw,5,0.681,0.595,0.719,148.931,0.00112,-5.428,0.14,128571,8,0.802,0.455,0
7yci6r0cjX0Np5AshDZOsR,4,0.574,0.58,0.801,132.538,0.0,-3.728,0.496,188412,0,0.77,0.0393,1
2VOXLA9TzOAVCjDi7RY5DV,4,0.503,0.486,0.549,85.701,0.0,-7.748,0.118,340000,1,0.627,0.314,0
2TJKY0WSFufZOzbRNgl6zE,4,0.793,0.132,0.476,129.992,0.0,-10.515,0.115,194769,5,0.578,0.0406,0
7yIIeKUxTpn36X6CFJhgEi,4,0.795,0.0398,0.678,101.032,0.35,-7.905,0.072,155965,11,0.788,0.0586,0
3bRWGhpeNUkJfFydelSwBk,4,0.881,0.0515,0.788,127.034,7.44e-05,-4.023,0.141,151654,7,0.566,0.1,0
3wlIAXSDtlD9iU8ysld06Z,3,0.776,0.513,0.701,112.032,0.0,-5.223,0.0902,265045,9,0.603,0.0254,1
5wjsJIUf6pdrwauPDae43o,4,0.771,0.227,0.661,74.995,0.0,-4.269,0.143,170297,4,0.964,0.0533,0
5XVdHRf4CAJ2Jm0uMIy5qY,4,0.778,0.152,0.835,140.082,0.0,-3.598,0.109,156346,11,0.666,0.0767,0
0J9g1MMJDhyvOb3NWckHMm,4,0.852,0.0602,0.881,96.984,6.44e-06,-2.546,0.0682,219333,5,0.556,0.126,0
51QmqegeWI2orK2mzDfnIH,4,0.884,0.0406,0.718,139.991,4.69e-05,-4.976,0.287,129846,1,0.729,0.0763,0
6k5wiT5l9DK8iZmhvEvoqo,4,0.843,0.226,0.794,92.998,1.22e-06,-4.686,0.25,275040,1,0.796,0.0426,0
2SOvWt6igzXViIjIiWNWEP,4,0.773,0.166,0.892,130.007,3.1e-06,-3.732,0.429,222462,1,0.842,0.0483,0
4t46soaqA758rbukTO5pp1,3,0.807,0.0185,0.665,127.909,0.0,-6.961,0.118,188667,9,0.864,0.0497,0
3dnP0JxCgygwQH9Gm7q7nb,3,0.668,0.483,0.758,147.989,1.89e-05,-5.176,0.0837,165671,5,0.834,0.0332,0
